ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
617;SALAME DI SUINO      ;97;28;475;1987;22,5;22,5;0;42,8;42,8;0;13,6;17;18,22;5,88;1,07;0,72;7,67;90;0;0;0;0;0;2,4;21;1850;160;246;1,7;0,32;0,2;5;0;0,15;3;0;0;0;0,28;0;1;100075;10003;SALAME DI SUINO
618;SALAME DI SUINO E BOVINO    ;97;27;454;1900;27,4;27,4;0;38,3;38,3;0;14,5;16,28;18,15;2,7;0,56;0;3,25;55;0;0;0;0;0;2,4;21;1019;180;246;1,9;0,32;0,2;2,6;0;0,18;5;0;0;0;0,22;0;1;100074;10003;SALAME DI SUINO E BOVINO
619;SALAME FABRIANO       ;100;32;421;1761;26,5;26,5;0;34,3;34,3;0;12,19;14,53;15,84;3,91;0,23;0,33;4,47;88;1,5;0;1,5;0;0;1,5;65;2391;646;356;5,4;0,15;0,1;2,5;0;0,15;3;0;0;0;0,28;0;1;8505;10003;SALAME FABRIANO
620;SALAME FELINO       ;100;35,2;375;1569;30,5;30,5;0;27,9;27,9;0;9,51;11,26;11,88;3,49;0,37;0,47;4,34;95;0,5;0;0,5;0;0;2,1;20;2502;716;356;6,4;0,34;0,26;2,5;0;0,15;3;0;0;0;0,28;0;1;8506;10003;SALAME FELINO
621;SALAME MILANO       ;100;35,5;390;1632;26,7;26,7;0;30,9;30,9;0;9,82;12,27;13,15;4,24;0,77;0,52;5,53;90;1,5;0;1,5;0;0;1,6;50;2339;707;356;5,4;0,24;0,21;2,5;0;0,15;3;0;0;0;0,28;0;1;1148;10003;SALAME MILANO
622;SALAME NAPOLI       ;100;39;358;1498;26,7;26,7;0;27,3;27,3;0;8,04;10,69;12,02;4,1;0,2;0,59;4,89;86;1,7;0;1,7;0;0;1,6;51;2688;784;356;6;0,16;0,14;2,5;0;0,36;3;0;0;0;0,23;0;1;11198;10003;SALAME NAPOLI
623;SALAME NOSTRANO       ;100;37,3;370;1548;27,3;27,3;0;28,5;28,5;0;9,33;11,73;12,93;3,75;0,21;0,07;4,04;94;1,1;0;1,1;0;0;1,9;65;2529;759;356;6,3;0,18;0,26;2,5;0;0,15;3;0;0;0;0,28;0;1;8508;10003;SALAME NOSTRANO
624;SALAME UNGHERESE       ;100;36;406;1699;24,2;24,2;0;34;34;0;9,74;13,99;15,36;4,79;0,27;0,39;5,45;94;0,7;0;0,7;0;0;1,6;68;2266;633;356;5;0,17;0,25;2,5;0;0,15;3;0;0;0;0,28;0;1;8509;10003;SALAME UNGHERESE
625;SALATINI        ;100;2;514;2151;7,2;0;7,2;24,3;11,4;12,9;7,06;13,11;13,67;2,74;0,26;0,21;3,22;0;71,1;63,9;7,2;3,3;0;2,2;38;1180;260;220;1,3;0,5;0,1;5,3;0;0,25;25;0;0;0;2,68;0;1;700016;9001;SALATINI
626;SALE da cucina      ;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;10;39300;89;1;0,1;0;0;0;0;0;0;0;0;0;0;0;1;8021;24001;SALE da cucina
627;SALMONE        ;79;67,2;180;753;20,2;20,2;0;11;11;0;1,9;2,4;4,4;0,3;0,2;2,6;3,1;50;0;0;0;0;0;0,4;21;45;360;250;0,6;0,23;0,13;7,2;0;0,75;16;13;13;0;1,91;8;1;700405;11001;SALMONE [SALMO SALAR]
628;SALMONE AFFUMICATO       ;100;64,9;142;594;25,4;25,4;0;4,5;4,5;0;0,78;0,98;1,8;0,12;0,08;1,06;1,27;35;0;0;0;0;0;0,6;19;1880;420;250;0,4;0,16;0,17;8,8;0;0,28;2;13;13;0;1,35;0;1;700407;11004;SALMONE AFFUMICATO
629;SALMONE IN SALAMOIA      ;98;64,3;188;787;21,1;21,1;0;11,5;11,5;0;2,44;1,74;4,36;0,17;0,17;2,96;3,31;35;0;0;0;0;0;0,8;66;540;300;286;0,8;0,05;0,19;7;0;0,21;14;60;60;0;1,52;17;1;1510;11004;SALMONE IN SALAMOIA
630;SALSICCIA DI FEGATO      ;100;42,9;424;1774;12,4;12,4;0;41,2;41,2;0;12;13,65;15,08;2,78;0,15;0;2,93;183;0,9;0;0,9;0;0;5,3;41;810;143;154;2,7;0,24;0,92;3,6;2;0,17;23;102;102;0;2,15;1,09;1;1152;10003;SALSICCIA DI FEGATO
631;SALSICCIA DI SUINO E BOVINO, fresca   ;100;44;394;1648;14,2;14,2;0;37,4;37,4;0;14,16;15,89;17,72;2,63;0,54;0;3,18;55;0;0;0;0;0;3,2;18;1019;180;175;1,9;0,2;0,08;3;0;0,18;5;0;0;0;0,22;0;1;100078;10003;SALSICCIA DI SUINO E BOVINO, fresca
632;SALSICCIA DI SUINO, fresca     ;100;53,6;304;1272;15,4;15,4;0;26,7;26,7;0;12,22;7,36;8,29;4,85;0,04;0;4,9;62;0,6;0;0,6;0;0;2,8;20;1100;200;173;1,2;0,34;0,03;4;0;0,07;1;0;0;0;0,24;0;1;1149;10003;SALSICCIA DI SUINO, fresca
633;SALSICCIA DI SUINO, secca     ;100;28,2;514;2151;22;22;0;47,3;47,3;0;21,64;13,04;14,79;8,6;0,07;0;8,67;62;0;0;0;0;0;4,3;31;1702;309;266;1,2;0,31;0,2;4,6;0;0,06;1;0;0;0;0,43;0;1;1150;10003;SALSICCIA DI SUINO, secca
