ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
88;BRESAOLA        ;100;56,3;175;732;34;34;0;4,3;4,3;0;1,82;1,78;2,11;0,08;0,06;0,04;0,18;65;0;0;0;0;0;7,1;35;2733;323;200;4,1;0,12;0,6;2,4;0;0,53;19;0;0;0;0,13;0,5;1;100061;10003;BRESAOLA
89;BRIE        ;100;48,6;319;1335;19,3;19,3;0;26,9;26,9;0;16,92;6,38;7,79;0,5;0,3;0;0,8;100;0;0;0;0;0;0,8;540;700;100;390;2,2;0,04;0,43;0,4;0;0,15;58;320;285;210;0,84;0,2;1;71787;7001;BRIE
90;BRIOCHES        ;100;19,5;413;1728;7,2;1,8;5,4;18,3;10;8,3;10,2;4,56;4,97;0,85;0,26;0,02;1,14;52;58,4;47,8;10,6;2,5;0;1,3;9;390;52;70;0,9;0,18;0,16;2;0;0,11;73;21;21;0;0;0,13;1;72;15001;BRIOCHES
91;BRIOCHES CON CREMA      ;100;23,5;391;1636;6,9;2;4,9;17,1;9;8,1;9,44;4,32;4,71;0,82;0,24;0,02;1,09;54;55,6;43,5;12,1;2,3;0;1,3;18;355;58;77;1;0,17;0,16;1,8;0;0,11;68;30;30;4;0,05;0,19;1;900094;15008;BRIOCHES CON CREMA
92;BRIOCHES CON MARMELLATA      ;100;21,2;394;1648;6,5;1,6;4,9;16,5;9;7,5;9,18;4,1;4,47;0,77;0,23;0,02;1,03;47;58,4;43;15,4;2,5;0;1,3;10;352;57;64;0,8;0,16;0,15;1,9;0;0,1;66;19;19;0;0;0,12;1;900085;15008;BRIOCHES CON MARMELLATA
93;BROCCOLETTI DI RAPE      ;60;90,7;22;92;2,9;0;2,9;0,3;0;0,3;0,07;0;0,02;0,04;0,08;0;0,12;0;2;0;2;2,9;0;1,5;97;7;296;69;0,2;0,04;0,16;1;110;0,26;194;225;0;1350;2,24;0;1;308;2004;BROCCOLETTI DI RAPE [BRASSICA RAPA, CV ESCULENTA]
94;BROCCOLO A TESTA      ;51;90,3;27;113;3;0;3;0,4;0;0,4;0,06;0,03;0,03;0,04;0,15;0;0,19;0;3,1;0;3,1;3,1;0;0,8;28;12;340;66;0,6;0,04;0,12;1,8;54;0,17;132;2;0;12;0,88;0;1;309;2004;BROCCOLO A TESTA [BRASSICA OLERACEA, CV BOTRYTIS CAPUT]
95;BRODO DI CARNE E VERDURA    ;100;98,1;5;21;0,7;0,4;0,4;0,2;0,1;0,1;0,05;0,09;0,09;0,05;0,01;0;0,05;0;0,1;0,1;0;0;0;0,1;1;222;15;1;0;0,06;0,01;0;0;0,01;12;0;0;0;0;0;1;9040;25001;BRODO DI CARNE E VERDURA
96;BRODO DI CARNE VARIA     ;100;97,6;7;29;1,1;1,1;0;0,2;0,2;0;0,11;0,08;0,09;0,01;0;0;0,01;0;0;0;0;0;0;0,2;6;326;54;13;0;0;0,02;0,8;0;0,01;23;0;0;0;0;0;1;900545;25001;BRODO DI CARNE VARIA
97;BRODO DI DADO      ;100;98;3;13;0,3;0,3;0;0,4;0,4;0;0,2;0,15;0,16;0,01;0;0;0,02;0;0,1;0,1;0;0;0;0;1;366;10;7;0;0;0,01;0,1;0;0,01;23;0;0;0;0;0;1;9043;25001;BRODO DI DADO
98;BRODO DI GALLINA      ;100;96,8;9;38;0,6;0,6;0;0,5;0,5;0;0,11;0,15;0,17;0,14;0;0;0,15;0;0,6;0;0,6;0;0;0;6;608;10;5;0;0;0;0,1;0;0,01;23;5;5;0;0;0;1;900546;25001;BRODO DI GALLINA
99;BRODO VEGETALE       ;100;98;5;21;0,3;0;0,3;0,4;0;0,4;0,09;0,17;0,17;0,09;0,01;0;0,1;0;0,3;0,2;0,1;0;0;0,1;1;362;8;3;0;0,11;0,01;0,1;0;0;1;0;0;2;0;0;1;701358;25001;BRODO VEGETALE
100;BUCCIA D'ARANCIA CANDITA      ;100;16;313;1310;0,2;0;0,2;0,2;0;0,2;0,02;0,03;0,04;0,03;0,01;0;0,04;0;82,7;0;82,7;1,1;0;1,5;65;27;24;5;0,1;0,07;0,05;0,2;3;0;0;20;0;120;0;0;1;100187;14002;BUCCIA D'ARANCIA CANDITA
101;BUDINO AL CIOCCOLATO      ;100;69,3;133;556;2,7;2;0,7;4;3,9;0,1;0,71;1,69;1,7;1,33;0,1;0;1,43;3;21,8;9,2;12,6;1;0;0,5;90;129;180;80;0,4;0,03;0,16;0,3;2;0,03;3;11;11;0;0,13;0,03;1;800188;15003;BUDINO AL CIOCCOLATO
102;BUDINO ALLA VANIGLIA      ;100;71,2;130;544;2,3;1,7;0,6;3,6;3,5;0,1;0,57;1,53;1,54;1,24;0,09;0,01;1,34;7;21,8;9,2;12,6;0,1;0;0,1;88;135;113;68;0,3;0,02;0,14;0,3;0;0,01;0;6;6;0;0,13;0,03;1;19007;15003;BUDINO ALLA VANIGLIA
103;BURRATA        ;100;44,4;396;1657;15,2;15,2;0;34,9;34,9;0;20,82;8,6;9,9;0,68;0,44;0;1,11;106;5,7;0;5,7;0;0;0,1;329;117;94;205;3,1;0,05;0,42;0,3;1;0,08;15;294;260;209;0,72;0,22;1;900688;7001;BURRATA
104;BURRINI        ;100;26,5;517;2163;22,1;22,1;0;47;47;0;27,57;11,42;13,04;0,88;0,62;0;1,5;176;1,6;0;1,6;0;0;0,4;433;353;62;256;2;0,01;0,16;0,3;0;0,04;5;585;533;309;1,18;0,48;1;1701;7001;BURRINI
105;BURRO        ;100;14,1;758;3171;0,8;0,8;0;83,4;83,4;0;48,78;20,68;23,72;1,57;1,18;0;2,75;250;1,1;0;1,1;0;0;0;15;7;15;16;0,6;0;0;0;0;0;0;806;731;450;2;0,8;1;1900;13003;BURRO
106;BURRO DI ARACHIDI      ;100;1,1;623;2607;22,6;0;22,6;53,7;0;53,7;10,62;26,49;27,21;13,45;0;0;13,45;0;13,1;6,4;6,7;6,8;0;2,1;37;350;700;330;3;0,17;0,09;12,5;0;0,58;53;0;0;0;4,99;0;1;606010;13002;BURRO DI ARACHIDI
107;CACAO AMARO  IN POLVERE     ;100;2,5;355;1485;20,4;0;20,4;25,6;0;25,6;15,09;8,52;8,53;0,73;0;0;0,73;0;11,5;11,5;0;28,9;0;14,3;51;950;1500;685;6,9;0,08;0,3;1,7;0;0,07;38;7;0;42;0,8;0;1;3000;18003;CACAO AMARO, IN POLVERE
108;CACAO DOLCE  IN POLVERE SOLUBILE    ;100;3;349;1460;4,5;0;4,5;8,6;0;8,6;5,07;2,86;2,86;0,25;0;0;0,25;0;67,7;5,4;62,2;7,3;0;4,4;40;950;1500;660;6,9;0,04;0,14;1,7;0;0,07;38;1;0;7;0,68;0;1;3012;18003;CACAO DOLCE, IN POLVERE, SOLUBILE
109;CACIOCAVALLO        ;100;30;439;1837;37,7;37,7;0;31,1;31,1;0;19,95;7,2;8,64;0,58;0,32;0;0,9;90;2,1;0;2,1;0;0;0,3;860;1259;138;590;3,2;0,01;0,45;0,2;0;0,07;10;336;294;252;0,35;0,16;1;1702;7001;CACIOCAVALLO
110;CACIOCAVALLO AFFUMICATO       ;100;30;439;1837;37,7;37,7;0;31,1;31,1;0;19,95;7,2;8,64;0,58;0,32;0;0,9;90;2,1;0;2,1;0;0;0,3;860;1259;138;590;3,2;0,01;0,45;0,2;0;0,07;10;336;294;252;0,35;0,16;1;700430;7001;CACIOCAVALLO AFFUMICATO
111;CACIOTTA AFFUMICATA       ;100;32,5;364;1523;27,7;27,7;0;27,3;27,3;0;17,34;7,03;7,94;0,29;0,31;0;0,6;104;2,1;0;2,1;0;0;2,1;1160;1890;94;675;3,5;0,03;0,47;0,2;0;0,09;7;116;113;20;0,73;0,5;1;700432;7001;CACIOTTA AFFUMICATA
112;CACIOTTA ROMANA DI PECORA     ;100;32,5;364;1523;27,7;27,7;0;27,3;27,3;0;17,34;7,03;7,94;0,29;0,31;0;0,6;104;2,1;0;2,1;0;0;2,1;1160;1890;94;675;3,5;0,03;0,47;0,2;0;0,09;7;116;113;20;0,73;0,5;1;1703;7001;CACIOTTA ROMANA DI PECORA
113;CACIOTTA TOSCANA       ;100;42,8;373;1561;24,6;24,6;0;29,6;29,6;0;18,37;8,1;9,58;0,61;0,44;0;1,04;90;2,1;0;2,1;0;0;0,6;618;514;68;496;3,2;0,02;0,32;0,2;0;0,07;10;264;231;198;0,35;0,16;1;1704;7001;CACIOTTA TOSCANA
114;CACIOTTINA FRESCA       ;100;54,8;261;1092;17,3;17,3;0;21,3;21,3;0;13,22;5,83;6,89;0,44;0,31;0;0,75;90;0;0;0;0;0;0,8;290;299;36;420;2,6;0,03;0,31;0,1;0;0,09;19;142;139;20;0,33;0,16;1;1705;7001;CACIOTTINA FRESCA
115;CAFFE' ALL'AMERICANA, in tazza     ;100;99,3;2;8;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0,4;0;0;0,4;2;2;54;1;0;0;0;0,2;0;0;0;0;0;0;0;0;1;9030;18002;CAFFE' ALL'AMERICANA, in tazza
116;CAFFE' BAR, in tazza     ;100;95,4;4;17;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,6;0;0;0,2;6;2;251;17;0,2;0;0,02;1,9;0;0;0;0;0;0;0;0;1;9031;18002;CAFFE' BAR, in tazza
117;CAFFE' CRUDO, in grani     ;100;10,2;190;795;11,2;0;11,2;13,1;0;13,1;5,16;1,05;1,07;4,72;0,39;0;5,13;0;6,7;0;6,7;49,5;0;20;160;2;1860;160;0,7;0,21;0,23;2,2;0;0,14;20;0;0;0;0;0;1;700795;18002;CAFFE' CRUDO, in grani
118;CAFFE' DECAFFEINATO, in tazza     ;100;95,4;4;17;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,6;0;0;0,2;6;2;251;17;0,2;0;0,02;1,9;0;0;0;0;0;0;0;0;1;700798;18002;CAFFE' DECAFFEINATO, in tazza
119;CAFFE' DECAFFEINATO, TOSTATO, MACINATO     ;100;4,1;287;1201;10,4;0;10,4;15,4;0;15,4;6,07;1,23;1,26;5,54;0,46;0;6,04;0;28,5;28,5;0;0;0;4,1;130;74;2020;160;0,7;0,07;0,2;10;0;0;22;0;0;0;2;0;1;700797;18002;CAFFE' DECAFFEINATO, TOSTATO, MACINATO
120;CAFFE' MOKA, in tazza     ;100;95,4;4;17;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,6;0;0;0,2;6;2;251;17;0,2;0;0,02;1,9;0;0;0;0;0;0;0;0;1;700796;18002;CAFFE' MOKA, in tazza
121;CAFFE' SOLUBILE, DECAFFEINATO, in polvere    ;100;3,2;224;937;13,9;0;13,9;0,2;0;0,2;0,1;0,02;0,02;0,09;0,01;0;0,1;0;42,6;17,4;25,2;0;0;3,8;140;23;4;286;0,1;0,01;1,36;28,1;0;0,03;0;0;0;0;0;0;1;888001;18002;CAFFE' SOLUBILE, DECAFFEINATO, in polvere
122;CAFFE' SOLUBILE, DECAFFEINATO, in tazza    ;100;99,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;3;0;0;0;0,2;0;0;0;0;0;0;0;0;1;9032;18002;CAFFE' SOLUBILE, DECAFFEINATO, in tazza
123;CAFFE' SOLUBILE, in polvere     ;100;3,4;223;933;20,4;0;20,4;0;0;0;0;0;0;0;0;0;0;0;41,1;16,8;24,3;0;0;4,6;140;81;3780;310;1,1;0,04;0,21;24,8;0;0,02;11;0;0;0;0;0;1;705153;18002;CAFFE' SOLUBILE, in polvere
124;CAFFE' SOLUBILE, in tazza     ;100;99,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;3;0;0;0;0,2;0;0;0;0;0;0;0;0;1;9033;18002;CAFFE' SOLUBILE, in tazza
125;CAFFE' TOSTATO, MACINATO      ;100;4,1;287;1201;10,4;0;10,4;15,4;0;15,4;6,07;1,23;1,26;5,54;0,46;0;6,04;0;28,5;28,5;0;0;0;4,1;130;74;2020;160;0,7;0,07;0,2;10;0;0;22;0;0;0;0;0;1;3153;18002;CAFFE' TOSTATO, MACINATO
126;CALAMARO        ;65;80;68;285;12,6;12,6;0;1,7;1,7;0;0,3;0,1;0,2;0,1;0;0,4;0,5;222;0,6;0;0;0;0;0;144;425;93;189;1,1;0,07;0,16;1,2;0;0,69;13;75;75;0;1,2;0;1;1304;11002;CALAMARO [LOLIGO VULGARIS]
127;CALAMARO SURGELATO       ;100;82;70;293;13,5;13,5;0;1,4;1,4;0;0,19;0,09;0,19;0,09;0;0,37;0,47;200;1;0;0;0;0;0,2;15;216;171;194;1,4;0,07;0,03;0,9;0;0,79;2;15;15;0;1,2;0;1;100121;11002;CALAMARO SURGELATO
128;CAMEMBERT        ;100;50,7;297;1243;20,9;20,9;0;23,7;23,7;0;14,91;5,62;6,86;0,44;0,26;0;0,7;75;0;0;0;0;0;0,2;350;650;100;310;2,7;0,05;0,52;0,9;0;0,22;102;283;230;315;0,65;0,18;1;71786;7001;CAMEMBERT
129;CANDITI        ;100;17;283;1184;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;75;0;75;4,5;0;1,5;60;27;24;7;0,1;0,05;0,04;0,5;0;0;0;8;0;48;0;0;1;2001;14002;CANDITI
130;CANNELLA        ;100;10;252;1054;3,9;0;3,9;3,2;0;3,2;0,65;0,45;0,48;0,53;0;0;0,53;0;55,5;0;55,5;24,4;0;38,1;1228;26;500;61;2;0,08;0,14;1,3;28;0,25;0;26;0;156;0,01;0;1;100207;24001;CANNELLA [CINNAMOMUM VERUM e AROMATICUM]
131;CANNOLI ALLA CREMA      ;100;33,7;369;1544;6,2;4;2,2;20,7;20,3;0,4;9,9;5,99;6,78;1,3;0,22;0,06;1,56;189;42,2;31,3;10,9;1,1;0;1,3;52;250;130;0;0,5;0;0;0;0;0,07;10;0;0;0;0,89;0,72;1;2002;15004;CANNOLI ALLA CREMA
132;CAPOCOLLO        ;100;36,3;450;1883;20,8;20,8;0;40,2;40,2;0;18,39;11,09;12,49;7,31;0,06;0;7,37;66;1,4;0;1,4;0;0;1;25;1335;320;263;3;0,7;0,2;6;0;0,36;3;0;0;0;0,23;0;1;1140;10003;CAPOCOLLO
133;CAPPERI SOTT'ACETO       ;100;93,7;20;84;2,6;0;2,6;0,1;0;0,1;0,01;0,01;0,01;0,01;0,01;0;0,01;0;2,1;0;2,1;1,5;0;0,9;19;1517;240;20;0,2;0,03;0;0,4;17;0,07;38;0;0;0;0;0;1;777010;24001;CAPPERI SOTT'ACETO
134;CAPRETTO        ;75;74,8;122;510;19,2;19,2;0;5;5;0;1,54;2,03;2,23;0,22;0,04;0,13;0,39;56;0;0;0;0;0;1;9;82;385;220;2;0,25;0,1;5,7;0;0,3;5;0;0;0;0,09;0,4;1;1061;10080;CAPRETTO [CAPRA HIREUS]
135;CAPRIOLO   COSCIA     ;100;74,4;103;431;22,2;22,2;0;1,6;1,6;0;0,63;0,42;0,44;0,2;0,05;0,07;0,31;50;0;0;0;0;0;3,3;5;55;340;210;2,4;0,22;0,25;6,4;0;0,37;4;0;0;0;0,2;0,4;1;600554;10007;CAPRIOLO [CERVUS spp], COSCIA
136;CAPRIOLO   SCHIENA     ;30;72,2;122;510;22,4;22,4;0;3,6;3,6;0;1,41;0,94;1;0,46;0,1;0,15;0,7;85;0,6;0;0,6;0;0;3;25;84;342;220;3,2;0,22;0,25;6,4;0;0,37;4;0;0;0;0,76;0,4;1;600555;10007;CAPRIOLO [CERVUS spp], SCHIENA
137;CARAMELLE ALLA FRUTTA      ;100;9,1;327;1368;2,8;0;2,8;0;0;0;0;0;0;0;0;0;0;0;84,2;3,4;59,3;0;0;0,4;28;33;28;4;0;0;0;0;0;0;0;0;0;0;0;0;1;19010;14004;CARAMELLE ALLA FRUTTA
138;CARAMELLE ALLA MENTA      ;100;0,2;393;1644;0,5;0;0,5;0,7;0;0,7;0,18;0,02;0,02;0,05;0,32;0;0,38;0;102,7;0;102,7;0;0;0,2;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19012;14004;CARAMELLE ALLA MENTA
139;CARAMELLE DURE       ;100;2,7;343;1435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,6;0;91,6;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2003;14004;CARAMELLE DURE
140;CARAMELLE MORBIDE, MOU      ;100;4,8;430;1799;2,1;2,1;0;17,2;17,2;0;10,71;4,33;4,97;0,39;0,25;0;0,64;17;71,1;1,1;70;0;0;1,5;95;320;210;64;0,3;0;0;0;0;0;0;0;0;0;0;0;1;2004;14004;CARAMELLE MORBIDE, MOU
141;CARCIOFI   ;34;84;22;92;2,7;0;2,7;0,2;0;0,2;0,05;0,01;0,01;0,06;0,02;0;0,08;0;2,5;0,6;1,9;5,5;0;1;86;133;376;67;0,8;0,06;0,1;0,5;12;0,03;68;18;0;108;0,19;0;1;310;2009;CARCIOFI [CYNARA SCOLYMUS]
142;CARCIOFI SURGELATI       ;100;88,6;38;159;2,6;0;2,6;0,4;0;0,4;0,1;0,01;0,01;0,13;0,05;0;0,18;0;3,9;0,9;3;3,9;0;0,5;19;47;248;58;0,3;0,06;0,14;0,9;5;0,08;126;15;0;90;0,19;0;1;700105;2009;CARCIOFI SURGELATI
143;CARCIOFINI SOTT'ACETO       ;100;84,4;18;75;2,9;0;2,9;0,2;0;0,2;0,05;0,01;0,01;0,06;0,02;0;0,09;0;2,7;0;1,3;5,5;0;0,5;44;821;330;40;0,5;0;0,02;1;1;0,02;50;15;0;90;0,19;0;1;700819;2010;CARCIOFINI SOTT'ACETO
144;CARCIOFINI SOTT'OLIO       ;100;83;68;285;1,8;0;1,8;5,7;0;5,7;0,67;1,83;1,85;2,81;0,04;0;2,85;0;2,6;1,5;1,1;3,3;0;1;44;1053;146;63;0,5;0,06;0,09;0,5;0;0,03;64;17;0;102;2,98;0;1;100170;2010;CARCIOFINI SOTT'OLIO
145;CARDI        ;70;94,3;10;42;0,6;0;0,6;0,1;0;0,1;0,01;0,02;0,02;0,04;0;0;0,04;0;1,7;0,2;1,5;1,5;0;0,2;96;23;293;11;0,2;0,02;0,04;0,2;4;0,04;28;0;0;0;0,19;0;1;311;2009;CARDI [CYNARA CARDUNCULUS]
146;CAROTE        ;95;91,6;33;138;1,1;0;1,1;0;0;0;0;0;0;0;0;0;0;0;7,6;0;7,6;3,1;0;0,7;44;95;220;37;0,4;0,04;0,04;0,7;4;0,12;10;1148;0;6888;0,46;0;1;312;2003;CAROTE [DAUCUS CAROTA]
147;CARPA        ;50;72,4;140;586;18,9;18,9;0;7,1;7,1;0;1,37;1,46;2,95;0,66;0,34;0,82;1,81;70;0;0;0;0;0;1;34;50;286;220;1,7;0,07;0,04;1,5;1;0,22;17;44;44;0;0,93;10,6;1;1305;11001;CARPA [CYPRINUS CARPIO]
148;CASTAGNE        ;69;41;189;791;3,5;0;3,5;1,8;0;1,8;0,31;0,66;0,67;0,65;0,07;0;0,72;0;42,4;34,3;8,1;9;0;1,2;38;11;500;89;1,8;0,22;0,35;1,4;0;0,42;62;0;0;0;0,98;0;1;503;4003;CASTAGNE [CASTANEA SATIVA]
149;CASTAGNE  secche       ;100;10,1;349;1460;4,7;0;4,7;3;0;3;0,52;1,1;1,12;1,08;0,12;0;1,2;0;80,9;65,5;15,4;13,1;0;2;52;18;930;90;0,9;0,33;0,4;2,3;0;0,64;110;0;0;0;1,33;0;1;504;4003;CASTAGNE, secche
150;CASTRATO   CARNE SEMIGRASSA    ;100;64,5;227;950;16,8;16,8;0;17,8;17,8;0;7,93;6;6,2;0,39;0,39;0;0,78;77;0;0;0;0;0;1,9;9;69;310;174;3,5;0,14;0,19;4,7;0;0,2;2;5;5;0;0,18;0,6;1;100040;10080;CASTRATO [OVIS AGNUS], CARNE SEMIGRASSA
151;CASTRATO  CARNE GRASSA      ;65;53;332;1389;16,5;16,5;0;29,5;29,5;0;13,93;10,53;10,89;0,69;0,69;0;1,37;76;0;0;0;0;0;1,6;8;58;250;157;1,9;0,12;0,16;3,9;0;0,34;11;15;15;0;0,07;0,4;1;100041;10080;CASTRATO, CARNE GRASSA
152;CASTRATO  CARNE MAGRA      ;65;76;122;510;17;17;0;6;6;0;2,83;2,14;2,22;0,14;0,14;0;0,28;71;0;0;0;0;0;2,2;10;70;330;191;3,3;0,16;0,22;5,4;0;0,3;6;6;6;0;0,09;0,4;1;100039;10080;CASTRATO, CARNE MAGRA
153;CAVALLO        ;100;74,1;113;473;21,7;21,7;0;2,7;2,7;0;0,97;0,9;1,11;0,18;0,27;0,12;0,57;52;0,5;0;0,5;0;0;3,2;10;44;330;230;2,1;0,1;0,12;4,6;0;0,38;8;0;0;0;0,48;0,6;1;1020;10006;CAVALLO [EQUUS CABALUS]
154;CAVALLO  CUORE       ;100;73;146;611;18,7;18,7;0;7,7;7,7;0;2,41;2,18;2,69;0,49;0,6;0;1,09;150;0,6;0;0,6;0;0;5;9;95;320;214;1,8;0,51;0,91;7,1;5;0,23;4;0;0;0;0,45;1;1;1223;10008;CAVALLO, CUORE
155;CAVALLO  FEGATO       ;100;67,8;145;607;22,4;22,4;0;4;4;0;1,47;0,54;0,64;0,22;0,07;0,55;0,84;300;5,3;0;5,3;0;0;9;8;81;320;358;4;0,3;2,88;14,7;30;0,83;330;11000;10804;1172;0,42;1,1;1;1224;10008;CAVALLO, FEGATO
156;CAVIALE        ;100;48;252;1054;18,9;18,9;0;18,8;18,8;0;4,26;3,32;4,86;0,09;0,02;7,68;7,78;588;1,9;0;1,9;0;0;11,9;275;1500;181;356;1;0,19;0,62;0,1;0;0,32;50;560;560;0;7;5,87;1;1516;11001;CAVIALE
157;CAVOLFIORE        ;66;90,5;25;105;3,2;0;3,2;0,2;0;0,2;0,03;0,01;0,01;0,02;0,06;0;0,08;0;2,7;0,3;2,4;2,4;0;0,8;44;8;350;69;0,7;0,1;0,1;1,2;59;0,23;54;0;0;0;0,18;0;1;313;2004;CAVOLFIORE [BRASSICA OLERACEA, CV BOTRYTIS CAULIFLAURA]
158;CAVOLI DI BRUXELLES      ;76;85,7;37;155;4,2;0;4,2;0,5;0;0,5;0,1;0,03;0,04;0,08;0,17;0,02;0,26;0;4,3;1;3,3;5,2;0;1,1;51;10;380;50;0,5;0,08;0,14;0,7;81;0,37;135;220;0;1320;1;0;1;315;2004;CAVOLI DI BRUXELLES [BRASSICA OLERACEA, CV GEMMIFERA]
159;CAVOLO BROCCOLO VERDE RAMOSO     ;72;89;24;100;3,4;0;3,4;0,3;0;0,3;0,05;0,02;0,02;0,03;0,11;0;0,14;0;2;0;2;3,1;0;1,2;72;12;340;74;0,6;0,08;0,21;1,8;77;0,14;90;123;0;738;1,3;0;1;314;2004;CAVOLO BROCCOLO VERDE RAMOSO [BRASSICA OLERACEA CV BOTRITYS CIMOSA]
160;CAVOLO CAPPUCCIO ROSSO      ;94;92,3;20;84;1,9;0;1,9;0,2;0;0,2;0,03;0,01;0,01;0,04;0,05;0,01;0,1;0;2,7;0;2,7;1;0;1;60;32;300;24;0,3;0,06;0,05;0,6;52;0,07;32;0;0;0;0,17;0;1;317;2004;CAVOLO CAPPUCCIO ROSSO [BRASSICA OLERACEA, CV CAPITATA RUBRA]
161;CAVOLO CAPPUCCIO VERDE      ;93;92,2;19;79;2,1;0;2,1;0,1;0;0,1;0,01;0,01;0,01;0,02;0,03;0;0,05;0;2,5;0;2,5;2,9;0;1,1;60;23;260;29;0,2;0,06;0,04;0,6;47;0,17;59;19;0;114;0,15;0;1;316;2004;CAVOLO CAPPUCCIO VERDE [BRASSICA OLERACEA, CV CAPITATA ALBA]
162;CECI   secchi     ;100;13;334;1397;21,8;0;21,8;4,9;0;4,9;0,63;1,35;1,36;2,59;0,1;0;2,69;0;54,3;50,6;3,7;13,8;0;6,1;117;6;800;299;3,3;0,36;0,14;1,7;5;0,53;180;30;0;180;2,61;0;1;201;3001;CECI [CICER ARIETINUM], secchi
163;CECI IN SCATOLA      ;100;78;56;234;4,3;0;4,3;1,4;0;1,4;0,18;0,38;0,39;0,74;0,03;0;0,77;0;7,2;5,8;1,4;8,1;0;1,5;41;336;96;55;0,5;0,03;0,02;0,1;0;0,03;7;2;0;14;1,05;0;1;700082;3001;CECI IN SCATOLA
164;CEDRO CANDITO       ;100;17;187;782;0,1;0;0,1;0,2;0;0,2;0,02;0,03;0,04;0,03;0,01;0;0,04;0;49,4;0;49,4;3,3;0;1,1;55;27;24;6;0,1;0;0;0,9;2;0;0;1;0;7;0;0;1;100188;14002;CEDRO CANDITO
165;CEFALO MUGGINE       ;55;73,4;127;531;15,8;15,8;0;6,8;6,8;0;1,78;0,82;1,57;0,39;0;1,67;2,06;61;0,7;0;0,7;0;0;1,8;26;65;350;220;0,4;0,06;0,1;7,3;0;0,43;9;17;17;0;1;0,8;1;1306;11001;CEFALO MUGGINE [MUGIL CEPHALUS]
166;CEREALI AGGREGATI       ;100;5,8;342;1431;10,7;0;10,7;2;0;2;0,46;0,22;0,22;1,16;0,06;0;1,22;0;74,9;68,5;6,4;11,6;0;6;35;370;370;290;2;0,7;1;10;0;0,22;50;0;0;0;1,03;0;1;999057;8003;CEREALI AGGREGATI
167;CERNIA        ;41;78;80;335;17,9;17,9;0;0,7;0,7;0;0,16;0,1;0,14;0,01;0,01;0,21;0,22;37;0,6;0;0,6;0;0;0,3;11;53;483;128;0,5;0,04;0,12;0,4;0;0,3;9;0;0;0;0,5;0;1;100092;11001;CERNIA [EPINEPHELUS GUAZA]
168;CERNIA DI FONDO      ;69;74;125;523;15,6;15,6;0;6,7;6,7;0;1,53;0,95;1,33;0,08;0,07;1,96;2,11;36;0,6;0;0,6;0;0;0,3;45;119;258;121;0,5;0,19;0,04;3,1;0;0,3;9;43;43;0;0,5;11;1;100093;11001;CERNIA DI FONDO [POLYPRION CERNIUM]
169;CERNIA SURGELATA       ;68;78,5;88;368;17;17;0;2;2;0;0,46;0,28;0,4;0,02;0,02;0,59;0,63;37;0,6;0;0,6;0;0;0,3;11;53;483;128;0,5;0,04;0,12;0,4;0;0,3;9;0;0;0;0,5;0;1;1400;11001;CERNIA SURGELATA
170;CERTOSINO        ;100;57;268;1121;17,5;17,5;0;22;22;0;13,65;6,02;7,12;0,45;0,32;0;0,78;90;0;0;0;0;0;0,3;440;430;125;263;1,4;0,05;0,36;0,1;0;0,08;19;293;275;105;0,24;0,17;1;100011;7001;CERTOSINO
171;CETRIOLI        ;77;96,5;14;59;0,7;0;0,7;0,5;0;0,5;0,17;0,01;0,01;0,12;0,11;0;0,23;0;1,8;0;1,8;0,6;0;0,3;16;13;140;17;0,1;0,02;0,03;0,6;11;0,04;9;0;0;0;0,07;0;1;318;2009;CETRIOLI [CUCUMIS SATIVUS]
